event_id,description,total_cost,paid_by,participants
7e62a329-e3b7-474c-b90d-bcc256d2bf73,Mua đồ dùng văn phòng,1609998,Person_18,Person_18;Person_13;Person_12;Person_19;Person_11;Person_17
d19013c5-f88a-40a3-9f26-192822cb73b7,Đồ dùng sinh hoạt chung,387000,Person_15,Person_11;Person_15
fe7f427f-2a8d-41c3-bf1c-5636bc7de60e,Mua đồ dùng văn phòng,1722999,Person_7,Person_10;Person_7;Person_12
b9917392-0fc3-4de5-8807-b964c1a4270f,Ăn trưa chung,1475004,Person_9,Person_5;Person_16;Person_19;Person_17;Person_10;Person_9;Person_7;Person_4;Person_3;Person_1;Person_8;Person_14
684671bf-3adb-4f43-9d9c-bfbfd31b1222,Tiền điện nước chia sẻ,834000,Person_17,Person_17;Person_1;Person_8;Person_12;Person_5;Person_16;Person_6;Person_19;Person_10;Person_18;Person_11;Person_4;Person_2;Person_20;Person_14;Person_9;Person_3;Person_13;Person_7;Person_15
e763ebbe-d925-44e1-bb3f-39b158d28b54,Tiệc cuối tuần,814005,Person_4,Person_4;Person_5;Person_3;Person_9;Person_7;Person_15;Person_20;Person_14;Person_2;Person_13;Person_18;Person_1;Person_17;Person_12;Person_16
ee8e71f3-0b27-49bd-9500-d8667a7dba4b,Đồ ăn vặt cho nhóm,486000,Person_14,Person_5;Person_13;Person_4;Person_8;Person_16;Person_15;Person_20;Person_14;Person_6;Person_7
22f37f6a-f348-48cd-96db-c377813124d1,Ăn trưa chung,81000,Person_13,Person_3;Person_14;Person_4;Person_13
4f0f08c1-6928-4fab-9702-906fe02d8b5e,Mua đồ dùng văn phòng,1986000,Person_7,Person_2;Person_7;Person_13;Person_12
7a1c93a1-232e-414e-abab-dc571a21a138,Đồ dùng sinh hoạt chung,256005,Person_16,Person_7;Person_8;Person_14;Person_4;Person_10;Person_9;Person_17;Person_15;Person_5;Person_1;Person_3;Person_16;Person_19;Person_18;Person_12
4cb3d7b9-b45e-4521-8dc8-9115dd9ed77e,Mua đồ dùng văn phòng,68004,Person_20,Person_5;Person_10;Person_14;Person_18;Person_1;Person_20;Person_12;Person_3;Person_9;Person_8;Person_15;Person_4
77a80818-5d3e-4995-8944-7ce85ad59d51,Vé xem phim,1801000,Person_5,Person_5;Person_9;Person_18;Person_16
aad789de-67c2-4a56-885d-8b72d8a86f2d,Đồ dùng sinh hoạt chung,75999,Person_4,Person_7;Person_3;Person_16;Person_4;Person_12;Person_2;Person_14;Person_10;Person_1;Person_15;Person_13
3a2fd627-167b-4b4d-94ab-e65e68e189ed,Sách và tài liệu chung,1130000,Person_19,Person_4;Person_19;Person_6;Person_13;Person_8
2cda21fc-5908-46e7-8161-98d6fe4e228d,Tiệc cuối tuần,1448000,Person_11,Person_1;Person_10;Person_3;Person_13;Person_6;Person_2;Person_11;Person_7;Person_12;Person_14;Person_17;Person_20;Person_19;Person_15;Person_4;Person_8;Person_16;Person_18;Person_5;Person_9
ef511cb1-c954-403e-85d5-15fe69b4fa85,Đồ ăn vặt cho nhóm,1847000,Person_7,Person_20;Person_19;Person_2;Person_7;Person_6;Person_12;Person_1;Person_4;Person_3;Person_5
c0fde70a-de0a-4bf2-9e46-d40e9a72346d,Thực phẩm cho bữa tối chung,275002,Person_19,Person_15;Person_6;Person_19;Person_1;Person_14;Person_11;Person_20
9995bb1a-9960-4d91-a594-1e6a81b69941,Đi lại chung (taxi/grab),1587003,Person_12,Person_2;Person_17;Person_8;Person_14;Person_11;Person_20;Person_9;Person_4;Person_13;Person_12;Person_18
60a3b85e-ba6f-4b52-806c-e03c553943df,Đăng ký dịch vụ trực tuyến dùng chung,117999,Person_5,Person_6;Person_2;Person_20;Person_19;Person_4;Person_13;Person_5
e6e3703a-7fce-4d84-b446-073dedf425e4,Tiền điện nước chia sẻ,1790004,Person_5,Person_1;Person_8;Person_4;Person_20;Person_10;Person_3;Person_17;Person_15;Person_7;Person_5;Person_6;Person_19
3726eb64-e6be-42ca-bc68-cc3a17b05b23,Thiết bị nhỏ cho dự án,1834002,Person_5,Person_1;Person_4;Person_5;Person_11;Person_18;Person_15
a1817318-1c3c-4b8c-a5ba-f69f4aec19d6,Tiệc cuối tuần,1819000,Person_19,Person_3;Person_9;Person_4;Person_13;Person_19
921eb49d-4712-4fb0-8045-59e5036123fd,Tiền điện nước chia sẻ,1456995,Person_7,Person_11;Person_8;Person_20;Person_13;Person_17;Person_1;Person_18;Person_7;Person_4;Person_10;Person_5;Person_6;Person_15;Person_9;Person_2
f049b520-3202-481b-b272-ce98b6273368,Ăn trưa chung,1671000,Person_16,Person_1;Person_11;Person_16
74272992-835d-4ff7-95a9-0ba7b2941824,Thực phẩm cho bữa tối chung,81000,Person_8,Person_1;Person_3;Person_8
30187ae1-b1b1-405f-bab6-60b358a29d36,Đồ dùng sinh hoạt chung,1537000,Person_7,Person_18;Person_12;Person_7;Person_10
de799dcf-2bb1-4203-9f97-6a4f15c56f6e,Tiền điện nước chia sẻ,78999,Person_14,Person_5;Person_8;Person_11;Person_3;Person_10;Person_19;Person_6;Person_12;Person_16;Person_9;Person_2;Person_13;Person_4;Person_15;Person_7;Person_20;Person_14
2fc82ca3-8ce2-4aa3-8eeb-6d0cf5538555,Thiết bị nhỏ cho dự án,1584999,Person_16,Person_5;Person_2;Person_17;Person_6;Person_15;Person_11;Person_1;Person_8;Person_16
683c652c-41da-4b24-9114-43e4a632df51,Quà tặng chung,724998,Person_2,Person_18;Person_11;Person_19;Person_3;Person_20;Person_2
aed142aa-a415-4272-be80-5d77cff22f16,Vé xem phim,560000,Person_20,Person_18;Person_9;Person_15;Person_11;Person_2;Person_4;Person_6;Person_1;Person_10;Person_13;Person_20;Person_17;Person_5;Person_8;Person_16;Person_7
61c5ce04-f983-4e67-a50a-75f4c6736875,Đi lại chung (taxi/grab),1458003,Person_4,Person_7;Person_6;Person_13;Person_17;Person_14;Person_4;Person_9;Person_20;Person_5;Person_16;Person_2;Person_1;Person_15;Person_18;Person_3;Person_10;Person_19;Person_12;Person_11
7e5fe1d5-16d9-496d-bf8a-5e3166f2ce77,Đăng ký dịch vụ trực tuyến dùng chung,1243998,Person_3,Person_17;Person_11;Person_18;Person_19;Person_3;Person_2;Person_6
12eb59f3-2ae9-4798-9878-cd22231cead5,Cà phê nhóm,1094002,Person_4,Person_9;Person_20;Person_12;Person_16;Person_2;Person_14;Person_13;Person_10;Person_19;Person_15;Person_4;Person_11;Person_6
34853c16-f45e-4aae-9016-a82b57c058f1,Tiệc cuối tuần,767000,Person_18,Person_10;Person_13;Person_7;Person_16;Person_14;Person_9;Person_18;Person_17;Person_20;Person_6;Person_19;Person_4;Person_12
de4a5cd2-1ff1-49aa-ba34-4994a99323c7,Đồ dùng sinh hoạt chung,89000,Person_4,Person_4;Person_2
82c018fd-d8e8-4e90-94b5-56475cb822fb,Quà tặng chung,969999,Person_13,Person_20;Person_7;Person_13
6312969c-8017-4e87-9c1b-407dbaea079e,Thiết bị nhỏ cho dự án,422000,Person_3,Person_19;Person_15;Person_1;Person_9;Person_2;Person_7;Person_18;Person_11;Person_20;Person_16;Person_6;Person_5;Person_3;Person_14;Person_17;Person_10
717a64e9-0119-4709-9677-75dc1bc789e5,Đăng ký dịch vụ trực tuyến dùng chung,1731002,Person_7,Person_4;Person_7;Person_5;Person_16;Person_13;Person_6;Person_20
5eb70c5f-3226-47e8-81f5-a8b18cc95189,Quà tặng chung,1048992,Person_20,Person_6;Person_12;Person_11;Person_19;Person_16;Person_8;Person_13;Person_20;Person_2;Person_10;Person_1;Person_4;Person_9;Person_17;Person_3;Person_7
a4082cba-d2e4-4c97-9b4c-ea3b6f657d99,Hoạt động team building,1269002,Person_7,Person_16;Person_2;Person_11;Person_19;Person_18;Person_7;Person_5;Person_6;Person_8;Person_15;Person_9;Person_3;Person_12;Person_20
f2dee3af-13e3-4115-89f0-de3aa69b5849,Mua đồ dùng văn phòng,1888002,Person_9,Person_19;Person_9;Person_16;Person_17;Person_10;Person_14;Person_7;Person_15;Person_5;Person_1;Person_4;Person_6;Person_8;Person_18;Person_2;Person_11;Person_20;Person_12
953fcf15-140d-46ac-b669-d6312f5a9360,Cà phê nhóm,306000,Person_12,Person_9;Person_16;Person_2;Person_12;Person_6
cfd8b9ef-ab47-4783-909a-e054d6de4aca,Thực phẩm cho bữa tối chung,1639000,Person_15,Person_4;Person_10;Person_1;Person_2;Person_3;Person_12;Person_9;Person_11;Person_7;Person_16;Person_14;Person_13;Person_19;Person_18;Person_8;Person_15;Person_17;Person_20;Person_6;Person_5
2e865d7f-46c3-4890-a7bc-54ab981ba919,Tiền điện nước chia sẻ,1225998,Person_18,Person_18;Person_6;Person_1;Person_3;Person_17;Person_10
b53e9372-790a-4117-b431-7d115c096803,Quà tặng chung,105996,Person_7,Person_4;Person_9;Person_8;Person_7;Person_10;Person_20;Person_18;Person_17;Person_5;Person_1;Person_11
2c34716d-c187-40fe-b0cd-39f5e9f4fc8c,Hoạt động team building,1637000,Person_10,Person_19;Person_9;Person_10;Person_15;Person_17;Person_13;Person_18;Person_7;Person_1;Person_16
248b2782-9d92-43a3-88f7-00056aeabf81,Sách và tài liệu chung,579999,Person_9,Person_9;Person_2;Person_14
6de01cbb-2740-433b-b213-4e68fe5149c9,Hoạt động team building,305000,Person_2,Person_20;Person_2;Person_18;Person_17
993fd3a0-9805-4ca5-880e-8e2e3faf1a09,Thực phẩm cho bữa tối chung,431002,Person_12,Person_11;Person_15;Person_14;Person_4;Person_17;Person_8;Person_3;Person_7;Person_5;Person_18;Person_1;Person_6;Person_12
a0c096fe-83e3-4f7d-8cf2-945ccb612dd2,Cà phê nhóm,129998,Person_17,Person_11;Person_14;Person_13;Person_6;Person_15;Person_8;Person_5;Person_17;Person_19;Person_1;Person_7
a9da2e9e-3b11-4b2a-aa36-bf30a33b2d01,Thiết bị nhỏ cho dự án,643000,Person_17,Person_18;Person_19;Person_8;Person_17;Person_13
3e3dd679-bccf-4764-9d8d-5a3280bab0c5,Đi lại chung (taxi/grab),60004,Person_3,Person_5;Person_17;Person_15;Person_16;Person_3;Person_20;Person_11;Person_14;Person_9;Person_10;Person_19;Person_12;Person_2;Person_1
86ed57a8-8cd3-4076-b3da-366043973ac6,Thực phẩm cho bữa tối chung,1215000,Person_5,Person_11;Person_9;Person_12;Person_20;Person_3;Person_8;Person_5;Person_6;Person_7
adf8ad8f-6243-47d3-916c-c770c436a691,Ăn trưa chung,654000,Person_14,Person_5;Person_18;Person_3;Person_10;Person_2;Person_15;Person_11;Person_14;Person_16;Person_6;Person_20;Person_7
a1239a24-e1ec-4bf5-b143-9691d32820b1,Thực phẩm cho bữa tối chung,705001,Person_8,Person_8;Person_5;Person_18;Person_1;Person_6;Person_2;Person_7;Person_11;Person_19;Person_16;Person_10
5d758c21-3a77-405c-8966-5e854ddb63f2,Thực phẩm cho bữa tối chung,784000,Person_19,Person_19;Person_6;Person_11;Person_10
d6e8df94-907a-403d-bcda-ea172ce77667,Đồ ăn vặt cho nhóm,706998,Person_11,Person_2;Person_9;Person_17;Person_11;Person_12;Person_19
28d55dab-fe3c-4ff7-a782-5c6586ad02cb,Đồ dùng sinh hoạt chung,1645005,Person_4,Person_1;Person_4;Person_20;Person_2;Person_17;Person_8;Person_6;Person_11;Person_12;Person_3;Person_13;Person_7;Person_9;Person_10;Person_5;Person_14;Person_19
f80de8f2-fdcc-4fcb-aec5-90bc77f02a3b,Thực phẩm cho bữa tối chung,1348000,Person_20,Person_20;Person_17;Person_8;Person_5;Person_9
4d80e999-5385-480c-9cdf-8666e455c7cb,Cà phê nhóm,886005,Person_16,Person_14;Person_8;Person_16;Person_19;Person_7;Person_11;Person_12;Person_1;Person_18;Person_15;Person_4;Person_5;Person_17;Person_6;Person_3
d176f899-d95e-4133-ab1d-8e098e75b747,Đồ ăn vặt cho nhóm,695001,Person_11,Person_18;Person_15;Person_19;Person_13;Person_10;Person_12;Person_3;Person_1;Person_20;Person_17;Person_14;Person_4;Person_8;Person_6;Person_11;Person_9;Person_7;Person_5;Person_2
030dbcb4-9668-48ff-8287-cf1b7dad6683,Đồ dùng sinh hoạt chung,1848000,Person_4,Person_18;Person_15;Person_5;Person_20;Person_13;Person_3;Person_1;Person_11;Person_12;Person_19;Person_4;Person_7;Person_17;Person_8;Person_9;Person_16;Person_2;Person_10;Person_6;Person_14
b72cd3c3-b597-4dd7-bdd1-9d69a960a8aa,Đồ ăn vặt cho nhóm,444000,Person_6,Person_20;Person_6
9625a029-9099-485c-ba6a-feecc61b08a7,Quà tặng chung,632005,Person_6,Person_14;Person_1;Person_6;Person_2;Person_5;Person_13;Person_3;Person_16;Person_4;Person_7;Person_17
e09d9261-d962-472f-92c9-10377678a0fd,Thực phẩm cho bữa tối chung,462996,Person_12,Person_7;Person_6;Person_20;Person_19;Person_18;Person_4;Person_1;Person_11;Person_16;Person_12;Person_14;Person_5;Person_10;Person_9;Person_8;Person_3;Person_15;Person_2
0cba81d4-a7dd-464e-a23f-76d42db8efb0,Thực phẩm cho bữa tối chung,120992,Person_12,Person_5;Person_10;Person_15;Person_7;Person_16;Person_4;Person_3;Person_1;Person_17;Person_19;Person_20;Person_6;Person_12;Person_2;Person_14;Person_18;Person_9;Person_13;Person_11
64449d98-fe56-4918-9308-9f138bc7f9e1,Đi lại chung (taxi/grab),503001,Person_6,Person_6;Person_8;Person_20
7623b9f7-c197-4e7f-8774-47a4fe9d328d,Mua đồ dùng văn phòng,108996,Person_10,Person_16;Person_18;Person_1;Person_17;Person_12;Person_2;Person_20;Person_8;Person_13;Person_14;Person_15;Person_10
2f51cec6-e561-4246-81d7-8742a1164ebc,Ăn trưa chung,934002,Person_18,Person_2;Person_5;Person_4;Person_9;Person_20;Person_13;Person_7;Person_6;Person_19;Person_10;Person_8;Person_15;Person_11;Person_16;Person_12;Person_14;Person_18;Person_17;Person_1
adbc9779-b61f-4305-b122-e2dfbe61fc36,Thiết bị nhỏ cho dự án,1480000,Person_12,Person_12;Person_15;Person_20;Person_8
75679daf-a12e-465e-9abb-9dbff31f5a0e,Đi lại chung (taxi/grab),1471001,Person_5,Person_11;Person_5;Person_1;Person_12;Person_7;Person_9;Person_8
45973d05-2c52-49ce-86ec-7de9cad7bf22,Quà tặng chung,1069005,Person_18,Person_17;Person_18;Person_13;Person_14;Person_19;Person_15;Person_7;Person_16;Person_2;Person_6;Person_12;Person_9;Person_4;Person_20;Person_8
ddc5dba9-e7af-4082-a483-c30cbefd4f09,Đi lại chung (taxi/grab),970002,Person_9,Person_15;Person_19;Person_12;Person_10;Person_18;Person_8;Person_5;Person_13;Person_14;Person_9;Person_16
08dc757b-baae-4699-a83b-f4cddb466ac5,Mua đồ dùng văn phòng,1681992,Person_16,Person_5;Person_15;Person_4;Person_7;Person_12;Person_2;Person_17;Person_11;Person_14;Person_9;Person_8;Person_3;Person_16;Person_13;Person_10;Person_18;Person_19;Person_6
